player,pt,reb,ast,stl,blk,fgm,fga,ftm,fta,tpm,tpa,to
Alex,4,12,0,3,2,1,1,2,6,0,0,0
Michael,14,7,8,0,0,6,6,2,3,0,0,4
Daniel,26,5,5,2,1,11,22,1,6,3,6,1
Robin,18,2,1,1,2,8,14,1,2,1,1,4
DeNoris,13,4,7,0,1,4,4,3,3,2,3,5
Nguyen,14,1,7,1,2,6,11,0,0,2,4,2
Hexi,19,7,1,3,2,9,18,1,3,0,0,4
Jesse,12,2,2,2,1,5,12,1,2,1,1,3
