player,pt,reb,ast,stl,blk,fgm,fga,ftm,fta,tpm,tpa,to
Alex,22,12,3,1,0,9,12,1,1,3,4,1
Michael,15,5,7,2,1,6,10,2,2,1,2,5
Daniel,21,5,1,0,0,10,14,0,0,1,2,2
Robin,11,7,5,2,1,4,11,1,4,2,5,1
DeNoris,1,11,1,3,0,0,0,1,1,0,0,2
Nguyen,11,10,4,2,2,4,10,1,3,2,3,0
Hexi,14,1,7,0,1,5,10,3,3,1,2,0
Jesse,17,2,8,1,0,7,17,2,4,1,3,2
