player,pt,reb,ast,stl,blk,fgm,fga,ftm,fta,tpm,tpa,to
Alex,10,8,6,3,1,4,6,2,3,0,0,0
Michael,22,0,1,2,0,10,30,0,0,2,5,3
Daniel,27,7,6,0,1,12,18,0,3,3,7,2
Robin,26,5,5,3,1,11,12,3,5,1,3,0
DeNoris,5,1,8,1,1,1,1,3,5,0,0,2
Nguyen,20,1,6,1,0,8,8,1,1,3,6,4
Hexi,23,12,0,2,2,11,21,0,5,1,2,0
Jesse,11,2,3,3,2,5,8,0,5,1,1,3
