player,pt,reb,ast,stl,blk,fgm,fga,ftm,fta,tpm,tpa,to
Alex,12,6,4,3,2,5,10,1,6,1,2,2
Michael,8,10,8,3,0,2,6,3,4,1,2,4
Daniel,12,2,5,1,2,4,6,1,2,3,5,0
Robin,4,9,1,1,1,1,3,2,3,0,0,2
DeNoris,16,1,7,1,1,7,7,1,1,1,3,4
Nguyen,30,4,5,2,1,12,26,3,6,3,7,0
Hexi,7,0,1,1,1,2,3,3,4,0,0,1
Jesse,0,7,4,3,1,0,0,0,2,0,0,3
