player,pt,reb,ast,stl,blk,fgm,fga,ftm,fta,tpm,tpa,to
Alex,26,2,1,2,0,12,18,0,0,2,2,2
Michael,14,11,0,0,0,6,12,0,1,2,5,2
Daniel,13,4,6,1,2,5,15,3,8,0,0,2
Robin,26,3,1,3,1,11,22,3,4,1,3,2
DeNoris,4,0,8,1,2,1,3,2,4,0,0,4
Nguyen,26,12,6,2,0,11,28,1,5,3,5,2
Hexi,5,3,8,1,1,1,3,2,2,1,2,3
Jesse,26,4,6,1,2,11,27,3,7,1,2,4
